symptoms,department
Dealing with intermittent bad breath causing discomfort,Dentistry
My missed period has been intermittent off and on,Gynecology
I feel severe dandruff causing discomfort,Dermatology
I feel spine stiffness for over a week,Orthopedics
Dealing with sharp heel pain while standing with mild sweating,Orthopedics
baby is crying constantly,Pediatrics
Suddenly developed paranoia especially during exercise,Psychiatry
swollen ankle joint,Orthopedics
I have had migraines,Neurology
I feel cavity in molar with mild sweating,Dentistry
breast pain,Gynecology
I have baby has diaper rash which is constant,Pediatrics
Complaining of severe headaches which is getting worse,Neurology
sinus pressure,ENT
Complaining of nasal congestion,ENT
Experiencing bad breath for the past few days,Dentistry
Dealing with nagging wisdom tooth pain causing discomfort,Dentistry
Experiencing hearing loss especially during exercise,ENT
red itchy skin rash,Dermatology
menstrual mood swings,Gynecology
blocked ears,ENT
Troubled by hoarse voice with mild sweating,ENT
Lightheadedness and sweating off and on,Cardiology
I feel bloating and PMS with mild sweating,Gynecology
My palpitations has been mild for the past few days,Cardiology
I feel severe anxiety attacks when I wake up,Psychiatry
My stiff shoulder joint has been sharp which is getting worse,Orthopedics
I've been having racing heart especially during exercise,Cardiology
I have my toddler has colic which is constant,Pediatrics
Lately I have plugged ear canal and it makes me anxious,ENT
hives on my back,Dermatology
My severe dandruff has been throbbing off and on,Dermatology
Complaining of plugged ear canal,ENT
I have tingling sensation in legs which is mild,Neurology
I feel red itchy skin rash off and on,Dermatology
Lately I have dry scaly patches,Dermatology
I have muscle tear which is persistent,Orthopedics
Experiencing heel pain while standing for the past few days,Orthopedics
Lately I have dry scaly patches causing discomfort,Dermatology
Suddenly developed dizziness and rapid pulse off and on,Cardiology
Experiencing numbness in my fingers off and on,Neurology
I have hormonal imbalance which is nagging,Gynecology
Experiencing uncontrollable fear especially after meals,Psychiatry
I have menstrual mood swings which is persistent,Gynecology
Experiencing irregular heartbeats for over a week,Cardiology
dental abscess,Dentistry
Postmenopausal bleeding which is getting worse,Gynecology
angina,Cardiology
Suffering from nausea and vomiting since this morning,General Medicine
I feel high blood pressure especially during exercise,Cardiology
memory loss,Neurology
Complaining of bad breath especially after meals,Dentistry
Dealing with cough and cold which is getting worse,General Medicine
Suffering from bad breath causing discomfort,Dentistry
Experiencing migraines since this morning,Neurology
dry mouth,Dentistry
Experiencing heel pain while standing when I wake up,Orthopedics
Wisdom tooth pain when I wake up,Dentistry
I've been having viral fever and it makes me anxious,General Medicine
kids sore throat,Pediatrics
baby has diaper rash,Pediatrics
Experiencing sensitive teeth to cold off and on,Dentistry
Dealing with dull chronic nerve pain especially after meals,Neurology
I have had joint pain in my knee since this morning,Orthopedics
shortness of breath,Cardiology
PTSD flashbacks,Psychiatry
Suddenly developed toddler has runny nose and cough at night,Pediatrics
I feel pain during intercourse causing discomfort,Gynecology
Dealing with severe dry mouth especially after meals,Dentistry
Troubled by ringing in my ears,ENT
I have had seizures causing discomfort,Neurology
Postmenopausal bleeding especially during exercise,Gynecology
chronic stress,Psychiatry
stiff shoulder joint,Orthopedics
I have hot flashes which is persistent,Gynecology
My difficulty speaking clearly has been throbbing when I wake up,Neurology
My gingivitis symptoms has been persistent for the past few days,Dentistry
I have uncontrollable fear which is persistent,Psychiatry
My swollen gums has been constant for over a week,Dentistry
I have mild fever which is dull,General Medicine
I have sore elbow which is constant,Orthopedics
Complaining of toddler has runny nose and cough and it makes me anxious,Pediatrics
Dealing with sharp breathlessness during walking especially after meals,Cardiology
My constant sneezing has been unbearable especially during exercise,ENT
Dealing with unbearable tremor in my hands since this morning,Neurology
I feel child has ear infection off and on,Pediatrics
My kids sore throat has been dull especially during exercise,Pediatrics
I have tremor in my hands which is intermittent,Neurology
Dealing with persistent child has asthma wheezing especially after meals,Pediatrics
nosebleeds,ENT
I feel excessive bleeding during cycle causing discomfort,Gynecology
tingling sensation in legs,Neurology
Experiencing general checkup request off and on,General Medicine
Complaining of loose tooth for over a week,Dentistry
I am experiencing baby has diaper rash,Pediatrics
Suffering from palpitations,Cardiology
I am experiencing uncontrollable fear,Psychiatry
Social anxiety off and on,Psychiatry
Tightness in chest and it makes me anxious,Cardiology
skin peeling,Dermatology
chronic backache,Orthopedics
My pelvic pain has been severe off and on,Gynecology
My paranoia has been mild with mild sweating,Psychiatry
Dealing with intermittent hearing loss off and on,ENT
fluttering chest sensation,Cardiology
I feel breathlessness during walking and it makes me anxious,Cardiology
I am experiencing stiff neck and numbness,Neurology
Experiencing constant sneezing when I wake up,ENT
Dealing with sinusitis headache especially after meals,ENT
I feel arthritis discomfort since this morning,Orthopedics
Troubled by gingivitis symptoms especially during exercise,Dentistry
Dealing with persistent muscle weakness for the past few days,General Medicine
Suffering from pregnancy morning sickness when I wake up,Gynecology
seizures,Neurology
Complaining of tightness in chest off and on,Cardiology
I have dry scaly patches which is mild,Dermatology
I feel sensitive teeth to cold off and on,Dentistry
I have cardiac fatigue which is sharp,Cardiology
I have mild fever which is mild,General Medicine
I have had pelvic pain,Gynecology
growth milestone concerns,Pediatrics
I have swollen gums which is nagging,Dentistry
chills and sweating,General Medicine
Experiencing racing thoughts and worry and it makes me anxious,Psychiatry
Complaining of vaginal dryness,Gynecology
Dealing with severe paranoia for the past few days,Psychiatry
Palpitations especially after meals,Cardiology
I have hair thinning which is dull,Dermatology
Dealing with sharp ovarian cyst pain off and on,Gynecology
I feel kids sore throat at night,Pediatrics
uterine cramping,Gynecology
I have cracking sound in joints which is sharp,Orthopedics
Dealing with intermittent stiff shoulder joint off and on,Orthopedics
sciatica pain down leg,Orthopedics
I feel cystic acne especially during exercise,Dermatology
Suddenly developed stomach ache,General Medicine
Chronic backache and it makes me anxious,Orthopedics
My plugged ear canal has been mild causing discomfort,ENT
left arm pain and chest tightness,Cardiology
blistering rash,Dermatology
acid reflux,General Medicine
heel pain while standing,Orthopedics
feeling depressed and sad,Psychiatry
Complaining of uncontrollable fear,Psychiatry
My toothache has been severe which is getting worse,Dentistry
My loss of smell has been severe with mild sweating,ENT
Dealing with severe spine stiffness especially after meals,Orthopedics
Experiencing chronic backache since this morning,Orthopedics
Dealing with sharp muscle weakness causing discomfort,General Medicine
Experiencing blistering rash for over a week,Dermatology
Dealing with nagging gum recession for the past few days,Dentistry
Severe dandruff causing discomfort,Dermatology
My panic attacks has been constant when I wake up,Psychiatry
Suffering from PTSD flashbacks and it makes me anxious,Psychiatry
Angina which is getting worse,Cardiology
Experiencing chills and sweating since this morning,General Medicine
Experiencing hoarse voice with mild sweating,ENT
Dealing with dull PTSD flashbacks for over a week,Psychiatry
bone ache,Orthopedics
Lately I have vaginal dryness at night,Gynecology
gum recession,Dentistry
Experiencing tooth discoloration and it makes me anxious,Dentistry
Complaining of mild diarrhea,General Medicine
I feel dizziness and rapid pulse since this morning,Cardiology
Dealing with throbbing arthritis discomfort for over a week,Orthopedics
I have seizures which is throbbing,Neurology
My yellowing nails has been nagging especially after meals,Dermatology
cracking sound in joints,Orthopedics
fungal infection on toes,Dermatology
palpitations,Cardiology
I feel irregular periods causing discomfort,Gynecology
I've been having shortness of breath,Cardiology
I feel dry mouth for the past few days,Dentistry
Suffering from fungal infection on toes,Dermatology
severe menstrual cramps,Gynecology
I have child has asthma wheezing which is constant,Pediatrics
I have bedwetting issues which is throbbing,Pediatrics
runny nose,ENT
Dealing with intermittent tightness in chest when I wake up,Cardiology
Dealing with constant sneezing and it makes me anxious,ENT
tightness in chest,Cardiology
cough and cold,General Medicine
I have seizures which is constant,Neurology
Lately I have insomnia and lack of sleep,Psychiatry
My severe anxiety attacks has been throbbing at night,Psychiatry
headache and body pain,General Medicine
I feel cavity in molar especially during exercise,Dentistry
I have had post-nasal drip for over a week,ENT
Troubled by gingivitis symptoms,Dentistry
High blood pressure and it makes me anxious,Cardiology
baby has congestion,Pediatrics
Experiencing broken tooth for the past few days,Dentistry
Experiencing lightheadedness and sweating with mild sweating,Cardiology
Suffering from baby is crying constantly when I wake up,Pediatrics
My left arm pain and chest tightness has been severe for the past few days,Cardiology
swelling in my feet,Cardiology
Dealing with pediatric eczema,Pediatrics
Troubled by unexplained weight loss,General Medicine
insomnia and lack of sleep,Psychiatry
Experiencing vaccination reaction in baby especially during exercise,Pediatrics
Dealing with dull difficulty concentrating since this morning,Psychiatry
I have muscle weakness which is sharp,General Medicine
My ringing in my ears has been dull for over a week,ENT
My excessive bleeding during cycle has been intermittent for over a week,Gynecology
Complaining of hives on my back when I wake up,Dermatology
child has asthma wheezing,Pediatrics
Stiff shoulder joint which is getting worse,Orthopedics
Complaining of chronic stress,Psychiatry
itchy bumps on arms,Dermatology
I have child has ear infection which is constant,Pediatrics
Experiencing pressure in my chest since this morning,Cardiology
I've been having severe anxiety attacks off and on,Psychiatry
I feel racing thoughts and worry off and on,Psychiatry
Experiencing cracking sound in joints since this morning,Orthopedics
Dealing with nagging toothache at night,Dentistry
I have uncontrollable fear which is dull,Psychiatry
Dealing with throbbing skin peeling at night,Dermatology
I have had lower back pain when I wake up,Orthopedics
mild diarrhea,General Medicine
Difficulty bending my knee which is getting worse,Orthopedics
I have had severe headaches causing discomfort,Neurology
Dealing with swollen glands in neck at night,ENT
I have panic attacks which is mild,Psychiatry
I feel loss of appetite at night,General Medicine
obsession with cleanliness,Psychiatry
I am experiencing bad breath for the past few days,Dentistry
Complaining of mole changes shape,Dermatology
Experiencing swelling in my feet especially after meals,Cardiology
I feel bloating and PMS causing discomfort,Gynecology
I have severe headaches which is unbearable,Neurology
I've been having hormonal imbalance especially during exercise,Gynecology
Loss of appetite for over a week,General Medicine
I have bone ache which is sharp,Orthopedics
I've been having newborn jaundice off and on,Pediatrics
ligament pull,Orthopedics
I feel blistering rash for the past few days,Dermatology
Experiencing red itchy skin rash especially after meals,Dermatology
I feel plugged ear canal off and on,ENT
loss of interest in activities,Psychiatry
Mouth sores since this morning,Dentistry
I have cystic acne which is persistent,Dermatology
My swelling in my feet has been severe and it makes me anxious,Cardiology
I have excessive bleeding during cycle which is sharp,Gynecology
I have toddler has runny nose and cough which is sharp,Pediatrics
Dealing with severe pelvic pain since this morning,Gynecology
I feel blocked ears especially during exercise,ENT
food poisoning symptoms,General Medicine
sore throat,ENT
Swollen glands in neck causing discomfort,ENT
blood pressure screening,General Medicine
joint pain in my knee,Orthopedics
Dealing with nagging pregnancy morning sickness causing discomfort,Gynecology
I have had lower back pain since this morning,Orthopedics
I feel seizures especially after meals,Neurology
viral fever,General Medicine
I have kids sore throat which is nagging,Pediatrics
missed period,Gynecology
Suddenly developed child has asthma wheezing,Pediatrics
Uterine cramping causing discomfort,Gynecology
Sore neck muscles with mild sweating,Orthopedics
muscle tear,Orthopedics
Dealing with lower back pain when I wake up,Orthopedics
I feel dizziness and loss of balance for over a week,Neurology
Suddenly developed joint pain in my knee at night,Orthopedics
sensitive teeth to cold,Dentistry
I've been having chronic nerve pain which is getting worse,Neurology
My insomnia and lack of sleep has been sharp when I wake up,Psychiatry
I feel lower back pain and it makes me anxious,Orthopedics
Suffering from chest pain,Cardiology
Dealing with throbbing numbness in my fingers for over a week,Neurology
I feel tingling sensation in legs at night,Neurology
Lately I have child has stomach ache,Pediatrics
I have severe menstrual cramps which is dull,Gynecology
Troubled by plugged ear canal,ENT
Complaining of plugged ear canal especially during exercise,ENT
My fluttering chest sensation has been mild with mild sweating,Cardiology
My bloating and gas has been persistent off and on,General Medicine
I feel swollen ankles for the past few days,Cardiology
My loss of appetite has been mild for over a week,General Medicine
Dealing with toddler refusing to eat,Pediatrics
Vaginal dryness for the past few days,Gynecology
I feel child has high fever since this morning,Pediatrics
Experiencing hallucinations off and on,Psychiatry
I feel gingivitis symptoms and it makes me anxious,Dentistry
Wart on my finger off and on,Dermatology
I feel cough and cold for over a week,General Medicine
I have mild fever which is severe,General Medicine
Complaining of unexplained vertigo,Neurology
I am experiencing vaginal dryness which is getting worse,Gynecology
Experiencing fatigue and body weakness which is getting worse,General Medicine
I have feeling depressed and sad which is sharp,Psychiatry
I feel seizures off and on,Neurology
Lightheadedness and sweating at night,Cardiology
I feel runny nose for the past few days,ENT
Experiencing growth milestone concerns since this morning,Pediatrics
Suddenly developed cracking sound in joints at night,Orthopedics
Experiencing hearing loss since this morning,ENT
cardiac fatigue,Cardiology
Suffering from eczema flare up,Dermatology
I have hormonal imbalance which is unbearable,Gynecology
Experiencing bad breath at night,Dentistry
Lately I have chronic stress especially during exercise,Psychiatry
unexplained vertigo,Neurology
I have my toddler has colic which is intermittent,Pediatrics
Cardiac fatigue off and on,Cardiology
Child has stomach ache especially during exercise,Pediatrics
Experiencing hoarse voice at night,ENT
muscle weakness,General Medicine
My dizziness and loss of balance has been throbbing with mild sweating,Neurology
Eczema flare up which is getting worse,Dermatology
Dealing with nagging mouth sores since this morning,Dentistry
Bloating and gas at night,General Medicine
I feel dental abscess especially after meals,Dentistry
cystic acne,Dermatology
Complaining of skin peeling,Dermatology
My racing thoughts and worry has been severe especially during exercise,Psychiatry
I feel my toddler has colic off and on,Pediatrics
Suddenly developed cavity in molar,Dentistry
sore elbow,Orthopedics
I have postmenopausal bleeding which is persistent,Gynecology
Experiencing fluttering chest sensation for over a week,Cardiology
Dealing with sharp muscle spasms which is getting worse,Neurology
My mild diarrhea has been persistent for over a week,General Medicine
Sunburn blisters which is getting worse,Dermatology
I have chest pain which is unbearable,Cardiology
Experiencing child has chickenpox spots especially during exercise,Pediatrics
Dealing with mild bad breath when I wake up,Dentistry
muscle spasms,Neurology
chronic nerve pain,Neurology
I am experiencing frequent fainting spells off and on,Neurology
Dealing with persistent irregular heartbeats at night,Cardiology
PTSD flashbacks especially after meals,Psychiatry
I feel uncontrollable fear for the past few days,Psychiatry
child has ear infection,Pediatrics
Loss of coordination when I wake up,Neurology
My gingivitis symptoms has been severe for the past few days,Dentistry
chest pain,Cardiology
dry scaly patches,Dermatology
Complaining of blocked ears,ENT
Dealing with nagging manic episodes with mild sweating,Psychiatry
Dealing with gum recession off and on,Dentistry
My kids sore throat has been nagging for over a week,Pediatrics
Dental abscess with mild sweating,Dentistry
Troubled by growth milestone concerns,Pediatrics
My sore elbow has been nagging causing discomfort,Orthopedics
I have difficulty bending my knee which is mild,Orthopedics
I feel missed period especially after meals,Gynecology
Experiencing hair thinning especially during exercise,Dermatology
Baby has diaper rash especially during exercise,Pediatrics
hair thinning,Dermatology
Dealing with nagging paranoia especially during exercise,Psychiatry
newborn jaundice,Pediatrics
Dealing with nagging severe dandruff since this morning,Dermatology
I feel sinus pressure since this morning,ENT
I have had general checkup request with mild sweating,General Medicine
Nosebleeds for the past few days,ENT
Loss of coordination with mild sweating,Neurology
My eczema flare up has been severe with mild sweating,Dermatology
My numbness in my fingers has been nagging when I wake up,Neurology
Chest pain for the past few days,Cardiology
I've been having bloating and PMS and it makes me anxious,Gynecology
I have had difficulty speaking clearly,Neurology
I have food poisoning symptoms which is dull,General Medicine
I feel toothache at night,Dentistry
Growth milestone concerns which is getting worse,Pediatrics
I have sore under dentures which is intermittent,Dentistry
My heel pain while standing has been constant especially after meals,Orthopedics
I feel constant sneezing causing discomfort,ENT
I have had joint pain in my knee off and on,Orthopedics
Dealing with mild newborn jaundice especially during exercise,Pediatrics
Experiencing sinus pressure especially after meals,ENT
Experiencing uncontrollable fear at night,Psychiatry
Experiencing baby has diaper rash which is getting worse,Pediatrics
swollen glands in neck,ENT
social anxiety,Psychiatry
I feel angina when I wake up,Cardiology
I have had ringing in my ears,ENT
My general checkup request has been mild since this morning,General Medicine
Dealing with persistent mouth sores especially during exercise,Dentistry
Suffering from itchy bumps on arms,Dermatology
My blistering rash has been sharp since this morning,Dermatology
Experiencing severe dandruff especially after meals,Dermatology
I feel cough and cold off and on,General Medicine
Suffering from wart on my finger for the past few days,Dermatology
my toddler has colic,Pediatrics
child has stomach ache,Pediatrics
My post-nasal drip has been intermittent for the past few days,ENT
vaginal discharge and itching,Gynecology
I have double vision which is severe,Neurology
I have kids sore throat which is throbbing,Pediatrics
My double vision has been intermittent since this morning,Neurology
I feel muscle spasms off and on,Neurology
Suffering from sore under dentures,Dentistry
I have frequent fainting spells which is persistent,Neurology
I have baby is crying constantly which is constant,Pediatrics
I have extreme mood swings which is dull,Psychiatry
Complaining of eating disorder behaviors,Psychiatry
Eczema flare up with mild sweating,Dermatology
I have fatigue and body weakness which is persistent,General Medicine
I have high blood pressure which is mild,Cardiology
Growth milestone concerns especially after meals,Pediatrics
Troubled by toddler refusing to eat,Pediatrics
Dealing with intermittent heart pounding for the past few days,Cardiology
Dealing with dull dehydration off and on,General Medicine
I have blocked ears which is dull,ENT
bloating and PMS,Gynecology
My food poisoning symptoms has been intermittent for over a week,General Medicine
unexplained weight loss,General Medicine
Experiencing angina with mild sweating,Cardiology
I have loose tooth which is throbbing,Dentistry
Troubled by bad breath,Dentistry
I have had hoarse voice since this morning,ENT
Difficulty bending my knee and it makes me anxious,Orthopedics
manic episodes,Psychiatry
I have manic episodes which is dull,Psychiatry
I feel seizures at night,Neurology
I feel chest pain at night,Cardiology
plaque buildup,Dentistry
I feel left arm pain and chest tightness causing discomfort,Cardiology
I have chills and sweating which is dull,General Medicine
mouth sores,Dentistry
Suddenly developed shortness of breath causing discomfort,Cardiology
hormonal imbalance,Gynecology
I have jaw pain when chewing which is intermittent,Dentistry
My swollen ankle joint has been sharp which is getting worse,Orthopedics
irregular periods,Gynecology
I feel swollen gums at night,Dentistry
I have had spine stiffness with mild sweating,Orthopedics
Dealing with intermittent dizziness and loss of balance causing discomfort,Neurology
Vaginal dryness with mild sweating,Gynecology
I feel loss of interest in activities and it makes me anxious,Psychiatry
Lately I have skin peeling,Dermatology
hallucinations,Psychiatry
Dealing with dark skin spots,Dermatology
ovarian cyst pain,Gynecology
I am experiencing my toddler has colic since this morning,Pediatrics
extreme mood swings,Psychiatry
Complaining of bedwetting issues,Pediatrics
Dark skin spots and it makes me anxious,Dermatology
I feel hives on my back and it makes me anxious,Dermatology
Dealing with unbearable obsession with cleanliness off and on,Psychiatry
Experiencing tightness in chest especially after meals,Cardiology
I have had chronic nerve pain,Neurology
I have stiff shoulder joint which is sharp,Orthopedics
Experiencing loss of smell at night,ENT
Blocked ears and it makes me anxious,ENT
My irregular periods has been throbbing especially after meals,Gynecology
Dealing with nagging nausea and vomiting off and on,General Medicine
I feel newborn jaundice for the past few days,Pediatrics
Experiencing wart on my finger which is getting worse,Dermatology
bad breath,Dentistry
Dealing with dull numbness in my fingers since this morning,Neurology
I have uterine cramping which is throbbing,Gynecology
I have pregnancy morning sickness which is severe,Gynecology
Lately I have blood pressure screening especially during exercise,General Medicine
dizziness and loss of balance,Neurology
sore neck muscles,Orthopedics
My broken tooth has been throbbing for the past few days,Dentistry
I am experiencing missed period,Gynecology
I feel itchy bumps on arms especially during exercise,Dermatology
I feel muscle tear especially after meals,Orthopedics
My loose tooth has been throbbing which is getting worse,Dentistry
Experiencing chronic nerve pain since this morning,Neurology
Dealing with sinusitis headache,ENT
I am experiencing pelvic pain,Gynecology
My sunburn blisters has been intermittent which is getting worse,Dermatology
Complaining of ovarian cyst pain especially during exercise,Gynecology
Experiencing irregular heartbeats causing discomfort,Cardiology
I feel constant sneezing and it makes me anxious,ENT
I have shortness of breath which is unbearable,Cardiology
Experiencing spine stiffness and it makes me anxious,Orthopedics
Experiencing difficulty swallowing with mild sweating,ENT
My muscle tear has been throbbing at night,Orthopedics
severe dandruff,Dermatology
Dealing with constant shortness of breath when I wake up,Cardiology
Complaining of bloating and gas,General Medicine
Dealing with persistent pressure in my chest since this morning,Cardiology
Dealing with throbbing double vision for over a week,Neurology
Dealing with dull suicidal thoughts causing discomfort,Psychiatry
Complaining of swollen glands in neck which is getting worse,ENT
Severe dandruff off and on,Dermatology
I have had nausea and vomiting,General Medicine
I have ovarian cyst pain which is persistent,Gynecology
I have heel pain while standing which is intermittent,Orthopedics
nasal congestion,ENT
My difficulty concentrating has been dull for over a week,Psychiatry
Experiencing missed period causing discomfort,Gynecology
My numbness in my fingers has been sharp which is getting worse,Neurology
Experiencing high blood pressure at night,Cardiology
Excessive bleeding during cycle which is getting worse,Gynecology
Throat pain when I wake up,ENT
Bone ache with mild sweating,Orthopedics
difficulty concentrating,Psychiatry
My mild diarrhea has been nagging especially after meals,General Medicine
pelvic pain,Gynecology
Dealing with sharp hair thinning for the past few days,Dermatology
vaccination reaction in baby,Pediatrics
Complaining of extreme mood swings with mild sweating,Psychiatry
frequent fainting spells,Neurology
Dealing with unbearable toddler has runny nose and cough off and on,Pediatrics
I have had bloating and PMS when I wake up,Gynecology
I have had dental abscess,Dentistry
My ovarian cyst pain has been mild especially after meals,Gynecology
I have sore neck muscles which is nagging,Orthopedics
I feel chronic backache since this morning,Orthopedics
I am experiencing child has asthma wheezing especially after meals,Pediatrics
Dealing with sunburn blisters,Dermatology
My cough and cold has been dull since this morning,General Medicine
Troubled by post-nasal drip with mild sweating,ENT
Child has high fever when I wake up,Pediatrics
I have had cracking sound in joints,Orthopedics
My frequent fainting spells has been constant causing discomfort,Neurology
I feel bloating and PMS when I wake up,Gynecology
I have dehydration which is constant,General Medicine
Complaining of panic attacks and it makes me anxious,Psychiatry
Complaining of dehydration which is getting worse,General Medicine
My newborn jaundice has been constant at night,Pediatrics
racing heart,Cardiology
I've been having wisdom tooth pain for the past few days,Dentistry
I feel sore elbow for the past few days,Orthopedics
nausea and vomiting,General Medicine
My blistering rash has been severe for over a week,Dermatology
fatigue and body weakness,General Medicine
lower back pain,Orthopedics
Suddenly developed nausea and vomiting for over a week,General Medicine
Heel pain while standing especially after meals,Orthopedics
My arthritis discomfort has been constant for over a week,Orthopedics
My nosebleeds has been constant with mild sweating,ENT
Acid reflux since this morning,General Medicine
Troubled by red itchy skin rash which is getting worse,Dermatology
I feel gum recession especially during exercise,Dentistry
Complaining of seizures and it makes me anxious,Neurology
I have had dry scaly patches which is getting worse,Dermatology
I feel menstrual mood swings with mild sweating,Gynecology
difficulty swallowing,ENT
I feel plaque buildup causing discomfort,Dentistry
Experiencing infant vomiting milk for the past few days,Pediatrics
Troubled by excessive bleeding during cycle for over a week,Gynecology
Suddenly developed loss of appetite with mild sweating,General Medicine
Experiencing ovarian cyst pain with mild sweating,Gynecology
Lately I have cavity in molar when I wake up,Dentistry
Hip discomfort when walking since this morning,Orthopedics
Dealing with skin peeling especially during exercise,Dermatology
Complaining of bone ache,Orthopedics
Dealing with intermittent severe menstrual cramps for over a week,Gynecology
Experiencing dark skin spots off and on,Dermatology
severe headaches,Neurology
Dealing with severe hives on my back causing discomfort,Dermatology
Experiencing numbness in my fingers since this morning,Neurology
I feel difficulty bending my knee for over a week,Orthopedics
Suddenly developed dry scaly patches,Dermatology
migraines,Neurology
Dealing with intermittent hot flashes causing discomfort,Gynecology
paranoia,Psychiatry
spine stiffness,Orthopedics
My cough and cold has been nagging with mild sweating,General Medicine
Suddenly developed runny nose,ENT
infant vomiting milk,Pediatrics
Dealing with dull nasal congestion especially during exercise,ENT
Experiencing suicidal thoughts off and on,Psychiatry
My child has ear infection has been intermittent which is getting worse,Pediatrics
I feel dry mouth when I wake up,Dentistry
wart on my finger,Dermatology
Baby has congestion for over a week,Pediatrics
I have swollen gums which is throbbing,Dentistry
