symptoms,disease
Complaining of tooth nerve throbbing together with pain when chewing.,Toothache
I have heavy period bleeding and lower abdominal pain.,Dysmenorrhea
Dealing with severe vertigo and headache.,(vertigo) Paroxysmal Positional Vertigo
I have cracking knee joint and hip joint stiffness.,Osteoarthritis
Dealing with severe warm red joints and stiff fingers.,Arthritis
I've been suffering from joint pain and dark urine for a few days.,Hepatitis B
Disturbed sleep,Insomnia
Rash spread all over skin,Chicken pox
I have vomiting and dark yellow urine.,Hepatitis E
"Started with dry cough, now I also feel mild sore throat.",Common Cold
Baby crying and hot,Toddler high fever
"Started with facial pain under eyes, now I also feel thick yellow nasal discharge.",Sinusitis
I feel skin peeling and swollen lips after medicine.,Drug Reaction
Sinus headache and facial pain under eyes which is getting worse.,Sinusitis
Dealing with severe pelvic cramps during cycle and lower abdominal pain.,Dysmenorrhea
"Started with itchy body rash, now I also feel sudden hives.",Drug Reaction
Complaining of toddler high temperature together with child colic.,Toddler high fever
"Started with red skin spots, now I also feel high fever.",Dengue
"Started with rectal bleeding, now I also feel anal lumps.",Dimorphic hemorrhoids(piles)
I have skin peeling and sudden hives.,Drug Reaction
I have heart palpitations and hunger and confusion.,Hypoglycemia
Complaining of dry cracked skin together with silver scaly patches.,Psoriasis
I have itchy throat and constant sneezing.,Allergy
I feel itchy body rash and skin peeling.,Drug Reaction
Experiencing cold sensitivity along with unexplained weight gain.,Hypothyroidism
I feel shortness of breath and chest tightness.,Heart attack
I've been suffering from difficulty catching breath and chest tightness when breathing for a few days.,Bronchial Asthma
Experiencing swollen painful joints along with joint inflammation.,Arthritis
Restlessness,Anxiety
I've been suffering from rectal bleeding and anal lumps for a few days.,Dimorphic hemorrhoids(piles)
I have silver scaly patches and itchy elbows.,Psoriasis
Nausea,Hepatitis B
Swollen purple veins on legs,Varicose veins
Sensitivity to light,Migraine
I have pelvic cramps during cycle and heavy period bleeding.,Dysmenorrhea
I have constipation and stomach pain.,Typhoid
I have body aches and itchy fluid filled blisters.,Chicken pox
"Started with silver scaly patches, now I also feel skin plaques.",Psoriasis
Dealing with severe shakiness and sweating and sudden dizziness.,Hypoglycemia
I have waking up tired and unable to fall asleep.,Insomnia
Slurred speech,Paralysis (brain hemorrhage)
Sudden hives and skin peeling which is getting worse.,Drug Reaction
"Started with pain behind eyes, now I also feel severe bone joint pain.",Dengue
I feel fatigue and abdominal swelling.,Hepatitis C
Rash spread all over skin and fever which is getting worse.,Chicken pox
I have clogged ear sensation and hearing muffling.,Otitis Media
Itchy elbows,Psoriasis
Experiencing shortness of breath along with chest pain when breathing.,Pneumonia
Experiencing facial droop along with sudden weakness.,Paralysis (brain hemorrhage)
I feel nasal blockage and thick yellow nasal discharge.,Sinusitis
Dealing with severe shoulder stiffness and neck pain.,Cervical spondylosis
Chest tightness when breathing and wheezing which is getting worse.,Bronchial Asthma
Complaining of honey colored crusts on skin together with red sores around nose.,Impetigo
I have visual aura and sensitivity to light.,Migraine
Experiencing itchy fluid filled blisters along with rash spread all over skin.,Chicken pox
Dealing with severe swollen painful joints and stiff fingers.,Arthritis
Complaining of visual aura together with sensitivity to sound.,Migraine
"Started with room spinning, now I also feel nausea.",(vertigo) Paroxysmal Positional Vertigo
Nausea and room spinning which is getting worse.,(vertigo) Paroxysmal Positional Vertigo
Dealing with severe vomiting and jaundice.,Hepatitis E
Dry cracked skin and itchy elbows which is getting worse.,Psoriasis
Experiencing abdominal swelling along with fatigue.,Hepatitis C
I feel stomach cramps and mild fever.,Gastroenteritis
Experiencing vertigo along with room spinning.,(vertigo) Paroxysmal Positional Vertigo
Complaining of heartburn together with acid reflux.,GERD
Experiencing sudden dizziness along with hunger and confusion.,Hypoglycemia
I've been suffering from leg cramping at night and spider veins for a few days.,Varicose veins
Itching in anal area and anal lumps which is getting worse.,Dimorphic hemorrhoids(piles)
Fatigue,Jaundice
Complaining of infant teething fever together with child colic.,Toddler high fever
Experiencing frequent urge to urinate along with burning sensation during urination.,Urinary tract infection
I feel tooth nerve throbbing and pain when chewing.,Toothache
I've been suffering from itchy elbows and skin plaques for a few days.,Psoriasis
Fever,Chicken pox
High fever with chills,Malaria
Burning sensation during urination and frequent urge to urinate which is getting worse.,Urinary tract infection
I feel spider veins and aching heavy legs.,Varicose veins
Dealing with severe anxiety and tremors and racing heart rate.,Hyperthyroidism
Dealing with severe nausea and fatigue.,Alcoholic hepatitis
Experiencing numbness in fingers along with shoulder stiffness.,Cervical spondylosis
Experiencing nausea along with left arm pain.,Heart attack
Itchy fluid filled blisters and fever which is getting worse.,Chicken pox
Frequent urge to urinate,Urinary tract infection
Complaining of tooth nerve throbbing together with sharp pain in tooth.,Toothache
Dealing with severe body aches and rash spread all over skin.,Chicken pox
Complaining of unexplained weight gain together with constant fatigue.,Hypothyroidism
Fluid filled bumps,Impetigo
Dealing with severe disturbed sleep and staying awake at night.,Insomnia
Dark yellow urine,Hepatitis E
I feel fatigue and jaundice after heavy drinking.,Alcoholic hepatitis
Honey colored crusts on skin,Impetigo
"Started with left arm pain, now I also feel sweating.",Heart attack
Complaining of nausea together with jaundice.,Hepatitis A
Dealing with severe aching heavy legs and spider veins.,Varicose veins
Red skin spots,Dengue
"Started with tooth nerve throbbing, now I also feel gum sensitivity.",Toothache
Complaining of inflamed red bumps together with cystic breakouts.,Acne
Experiencing stomach cramps along with watery diarrhea.,Gastroenteritis
I have loss of interest in hobbies and constant crying spells.,Depression
Complaining of nasal congestion together with itchy throat.,Allergy
Continuous high fever and constipation which is getting worse.,Typhoid
Sweating,Hyperthyroidism
I've been suffering from yellow skin and joint pain for a few days.,Hepatitis B
Fatigue and abdominal pain under ribs which is getting worse.,Hepatitis A
Sweating and chest tightness which is getting worse.,Heart attack
Dealing with severe constipation and headache.,Typhoid
Loss of appetite and joint pain which is getting worse.,Hepatitis B
Experiencing severe menstrual cramps along with lower abdominal pain.,Dysmenorrhea
I have nausea and left arm pain.,Heart attack
Dealing with severe sweaty palms and nervous stomach.,Anxiety
Abdominal swelling and fatigue which is getting worse.,Hepatitis C
Dealing with severe headache and muscle ache and severe shivering.,Malaria
I've been suffering from unexplained weight gain and constant fatigue for a few days.,Hypothyroidism
I feel jaundice symptoms and abdominal discomfort.,Hepatitis D
I've been suffering from cough with green sputum and chest pain when breathing for a few days.,Pneumonia
Experiencing blisters along with honey colored crusts on skin.,Impetigo
Heart palpitations,Hypoglycemia
Hunger and confusion,Hypoglycemia
Dealing with severe constant panic feeling and sweaty palms.,Anxiety
Shortness of breath,Heart attack
Dealing with severe extreme body weakness and constipation.,Typhoid
Sudden weakness,Paralysis (brain hemorrhage)
Warm red joints and swollen painful joints which is getting worse.,Arthritis
Experiencing lower abdominal pain along with heavy period bleeding.,Dysmenorrhea
Experiencing acute chest pain along with nausea.,Heart attack
Complaining of unexplained weight loss together with night sweats.,Tuberculosis
Experiencing visible hole in tooth along with cavity in molar.,Cavity
Complaining of fatigue together with abdominal discomfort.,Hepatitis D
I feel stomach cramps and nausea.,Gastroenteritis
I have skin plaques and itchy elbows.,Psoriasis
Dealing with severe burning sensation during urination and frequent urge to urinate.,Urinary tract infection
I've been suffering from toddler high temperature and infant teething fever for a few days.,Toddler high fever
Complaining of pain when chewing together with tooth nerve throbbing.,Toothache
Dealing with severe dry scaly patches and ringworm spots.,Fungal infection
I have aching heavy legs and swollen purple veins on legs.,Varicose veins
I have arm tingling and numbness in fingers.,Cervical spondylosis
I feel cloudy foul urine and burning sensation during urination.,Urinary tract infection
Experiencing unable to fall asleep along with staying awake at night.,Insomnia
"Started with skin peeling, now I also feel swollen lips after medicine.",Drug Reaction
I've been suffering from fatigue and abdominal swelling for a few days.,Alcoholic hepatitis
I feel neck cracking sound and neck pain.,Cervical spondylosis
I've been suffering from fever and jaundice for a few days.,Hepatitis E
I have ear pain and fluid drainage from ear.,Otitis Media
Experiencing fatigue along with jaundice symptoms.,Hepatitis D
I feel sharp pain in tooth and pain when chewing.,Toothache
"Started with red tender gums, now I also feel blood while brushing teeth.",Bleeding gums
I've been suffering from inflamed red bumps and oily skin for a few days.,Acne
Fatigue and low energy and constant crying spells which is getting worse.,Depression
Dealing with severe facial pain under eyes and nasal blockage.,Sinusitis
Complaining of joint inflammation together with stiff fingers.,Arthritis
Experiencing loss of appetite along with dark tea colored urine.,Jaundice
Dealing with severe leg cramping at night and spider veins.,Varicose veins
Fluid filled bumps and red sores around nose which is getting worse.,Impetigo
Dealing with severe shortness of breath and high blood pressure.,Hypertension
Cough with green sputum,Pneumonia
Constant panic feeling,Anxiety
Mild fever and runny nose which is getting worse.,Common Cold
Abdominal swelling and yellowing of eyes which is getting worse.,Hepatitis C
I feel nasal blockage and sinus headache.,Sinusitis
"Started with silver scaly patches, now I also feel itchy elbows.",Psoriasis
I have dizziness and shortness of breath.,Hypertension
Experiencing fluid drainage from ear along with hearing muffling.,Otitis Media
Complaining of red sores around nose together with honey colored crusts on skin.,Impetigo
"Started with nasal blockage, now I also feel sinus headache.",Sinusitis
Experiencing sharp pain in tooth along with gum sensitivity.,Toothache
Experiencing mild sore throat along with mild fever.,Common Cold
Complaining of warm red joints together with swollen painful joints.,Arthritis
"Started with mild sore throat, now I also feel sneezing.",Common Cold
Racing heart rate and sweating which is getting worse.,Hyperthyroidism
I've been suffering from watery eyes and runny nose for a few days.,Allergy
Nausea,Gastroenteritis
I've been suffering from constant fatigue and cold sensitivity for a few days.,Hypothyroidism
I have dark urine and fatigue.,Hepatitis A
I feel dry cough and congested sinus.,Common Cold
I've been suffering from dizziness and nausea for a few days.,Migraine
I've been suffering from loss of balance and headache for a few days.,(vertigo) Paroxysmal Positional Vertigo
Tooth sensitivity to hot cold,Cavity
Complaining of tooth sensitivity to hot cold together with visible hole in tooth.,Cavity
Experiencing feeling empty and hopeless along with loss of interest in hobbies.,Depression
I've been suffering from sharp pain in tooth and pain when chewing for a few days.,Toothache
Complaining of jaundice symptoms together with fatigue.,Hepatitis D
Complaining of abdominal discomfort together with jaundice symptoms.,Hepatitis D
Rectal bleeding,Dimorphic hemorrhoids(piles)
Gum sensitivity and pain when chewing which is getting worse.,Toothache
Restlessness and constant panic feeling which is getting worse.,Anxiety
Thinning hair,Hypothyroidism
Anxiety and tremors,Hyperthyroidism
Heartburn,GERD
I've been suffering from abdominal discomfort and fatigue for a few days.,Hepatitis D
I have waking up tired and unable to fall asleep.,Insomnia
I feel dark urine and nausea.,Hepatitis B
Chest pain when breathing,Pneumonia
I have pain behind eyes and red skin spots.,Dengue
I've been suffering from unexplained weight loss and coughing up blood for a few days.,Tuberculosis
I have neck cracking sound and arm tingling.,Cervical spondylosis
"Started with sensitivity to light, now I also feel visual aura.",Migraine
Experiencing rectal bleeding along with itching in anal area.,Dimorphic hemorrhoids(piles)
Complaining of fatigue together with jaundice after heavy drinking.,Alcoholic hepatitis
I feel jaundice after heavy drinking and abdominal swelling.,Alcoholic hepatitis
Experiencing abdominal pain under ribs along with dark urine.,Hepatitis A
Experiencing skin peeling along with sudden hives.,Drug Reaction
"Started with ear pain, now I also feel hearing muffling.",Otitis Media
Experiencing high fever with chills along with cough with green sputum.,Pneumonia
Dealing with severe wheezing and difficulty catching breath.,Bronchial Asthma
Cold sensitivity,Hypothyroidism
I have cold sensitivity and constant fatigue.,Hypothyroidism
I feel numbness in fingers and shoulder stiffness.,Cervical spondylosis
I feel sweating and anxiety and tremors.,Hyperthyroidism
Gum sensitivity,Toothache
High fever with chills and severe shivering which is getting worse.,Malaria
Neck cracking sound and shoulder stiffness which is getting worse.,Cervical spondylosis
I feel cracking knee joint and knee pain when bending.,Osteoarthritis
I feel tooth sensitivity to hot cold and cavity in molar.,Cavity
Severe headache,Hypertension
I've been suffering from persistent cough for 3 weeks and night sweats for a few days.,Tuberculosis
Left arm pain,Heart attack
Experiencing loss of appetite along with yellow eyes.,Jaundice
I feel warm red joints and stiff fingers.,Arthritis
Dealing with severe difficulty catching breath and wheezing.,Bronchial Asthma
I feel loss of interest in hobbies and feeling empty and hopeless.,Depression
I've been suffering from sudden dizziness and hunger and confusion for a few days.,Hypoglycemia
I've been suffering from sweating and rapid weight loss for a few days.,Hyperthyroidism
I have coughing up blood and night sweats.,Tuberculosis
Complaining of runny nose together with mild fever.,Common Cold
Oily skin and blackheads which is getting worse.,Acne
Complaining of persistent cough for 3 weeks together with night sweats.,Tuberculosis
I've been suffering from fatigue and low energy and constant crying spells for a few days.,Depression
Dealing with severe rash spread all over skin and body aches.,Chicken pox
Complaining of coughing up blood together with unexplained weight loss.,Tuberculosis
Itchy fluid filled blisters,Chicken pox
Dry cough,Common Cold
Dealing with severe heavy period bleeding and lower abdominal pain.,Dysmenorrhea
I've been suffering from nausea and chest tightness for a few days.,Heart attack
I've been suffering from headache and muscle ache and severe shivering for a few days.,Malaria
Complaining of staying awake at night together with disturbed sleep.,Insomnia
"Started with skin plaques, now I also feel dry cracked skin.",Psoriasis
I have abdominal discomfort and fatigue.,Hepatitis D
Dealing with severe pain behind eyes and nausea.,Dengue
I feel heavy period bleeding and lower abdominal pain.,Dysmenorrhea
Experiencing cystic breakouts along with inflamed red bumps.,Acne
"Started with hip joint stiffness, now I also feel joint stiffness in morning.",Osteoarthritis
Dealing with severe heavy period bleeding and lower abdominal pain.,Dysmenorrhea
Complaining of chest tightness together with shortness of breath.,Heart attack
Complaining of blackheads together with oily skin.,Acne
I feel body aches and rash spread all over skin.,Chicken pox
Nausea and dark urine which is getting worse.,Hepatitis A
Nausea,Heart attack
Shortness of breath,Hypertension
I've been suffering from fluid drainage from ear and hearing muffling for a few days.,Otitis Media
Nausea and abdominal swelling which is getting worse.,Alcoholic hepatitis
Facial droop,Paralysis (brain hemorrhage)
I have shortness of breath and high fever with chills.,Pneumonia
I feel sweating and shortness of breath.,Heart attack
I've been suffering from swollen lips after medicine and sudden hives for a few days.,Drug Reaction
Night sweats and coughing up blood which is getting worse.,Tuberculosis
I've been suffering from sudden dizziness and heart palpitations for a few days.,Hypoglycemia
I've been suffering from thick yellow nasal discharge and nasal blockage for a few days.,Sinusitis
"Started with shakiness and sweating, now I also feel sudden dizziness.",Hypoglycemia
I have silver scaly patches and dry cracked skin.,Psoriasis
Runny nose,Allergy
I've been suffering from bloating and chest burn after eating for a few days.,GERD
I have continuous high fever and constipation.,Typhoid
I've been suffering from ringworm spots and fungal patches on toes for a few days.,Fungal infection
I have continuous high fever and extreme body weakness.,Typhoid
I feel nausea and abdominal swelling.,Hepatitis C
Neck cracking sound,Cervical spondylosis
"Started with visible hole in tooth, now I also feel tooth sensitivity to hot cold.",Cavity
I feel baby crying and hot and toddler high temperature.,Toddler high fever
Blackheads,Acne
Nasal congestion,Allergy
Dealing with severe baby crying and hot and toddler high temperature.,Toddler high fever
I have swollen bleeding gums and red tender gums.,Bleeding gums
Experiencing dark yellow urine along with jaundice.,Hepatitis E
Rectal bleeding and painful bowel movements which is getting worse.,Dimorphic hemorrhoids(piles)
Complaining of lower pelvic pain together with burning sensation during urination.,Urinary tract infection
Experiencing pelvic cramps during cycle along with heavy period bleeding.,Dysmenorrhea
Experiencing visible hole in tooth along with tooth sensitivity to hot cold.,Cavity
I feel yellow skin and loss of appetite.,Hepatitis B
I've been suffering from dark urine and joint pain for a few days.,Hepatitis B
Complaining of dark yellow urine together with vomiting.,Hepatitis E
Silver scaly patches and itchy elbows which is getting worse.,Psoriasis
Dealing with severe fluid filled bumps and honey colored crusts on skin.,Impetigo
Experiencing constant sneezing along with watery eyes.,Allergy
Sweaty palms and restlessness which is getting worse.,Anxiety
Stomach cramps,Gastroenteritis
Experiencing sweating along with high fever with chills.,Malaria
"Started with constant sneezing, now I also feel watery eyes.",Allergy
I feel hearing muffling and ear pain.,Otitis Media
I've been suffering from burning sensation during urination and frequent urge to urinate for a few days.,Urinary tract infection
I've been suffering from blood while brushing teeth and swollen bleeding gums for a few days.,Bleeding gums
Dealing with severe sharp pain in tooth and tooth nerve throbbing.,Toothache
Mild fever and stomach cramps which is getting worse.,Gastroenteritis
Experiencing blood while brushing teeth along with red tender gums.,Bleeding gums
Sharp pain in tooth,Toothache
Complaining of racing thoughts together with restlessness.,Anxiety
I feel swollen purple veins on legs and leg cramping at night.,Varicose veins
Experiencing sensitivity to light along with dizziness.,Migraine
Dealing with severe chest burn after eating and bloating.,GERD
"Started with left arm pain, now I also feel nausea.",Heart attack
Dealing with severe pain behind eyes and severe bone joint pain.,Dengue
Complaining of loss of coordination together with facial droop.,Paralysis (brain hemorrhage)
Room spinning,(vertigo) Paroxysmal Positional Vertigo
"Started with night sweats, now I also feel unexplained weight loss.",Tuberculosis
Continuous high fever and stomach pain which is getting worse.,Typhoid
Sweating and chest tightness which is getting worse.,Heart attack
I've been suffering from nervous stomach and sweaty palms for a few days.,Anxiety
Itchy body rash,Drug Reaction
Complaining of swollen lips after medicine together with skin peeling.,Drug Reaction
I've been suffering from silver scaly patches and dry cracked skin for a few days.,Psoriasis
I have cold sensitivity and unexplained weight gain.,Hypothyroidism
Dealing with severe constant crying spells and fatigue and low energy.,Depression
Dealing with severe congested sinus and sneezing.,Common Cold
I feel pain when chewing and tooth nerve throbbing.,Toothache
I feel racing heart rate and heat sensitivity.,Hyperthyroidism
Difficulty catching breath,Bronchial Asthma
Experiencing nausea along with high fever.,Dengue
Dizziness and sensitivity to sound which is getting worse.,Migraine
Bloating,GERD
Unexplained weight loss,Tuberculosis
Skin plaques and itchy elbows which is getting worse.,Psoriasis
Night sweats,Tuberculosis
"Started with anxiety and tremors, now I also feel rapid weight loss.",Hyperthyroidism
I feel headache and nausea.,(vertigo) Paroxysmal Positional Vertigo
Dealing with severe sudden hives and skin peeling.,Drug Reaction
Complaining of watery diarrhea together with vomiting.,Gastroenteritis
Wheezing and difficulty catching breath which is getting worse.,Bronchial Asthma
Abdominal swelling and fatigue which is getting worse.,Alcoholic hepatitis
Racing heart rate and heat sensitivity which is getting worse.,Hyperthyroidism
Numbness in fingers,Cervical spondylosis
"Started with inflamed red bumps, now I also feel oily skin.",Acne
I feel chest burn after eating and sour taste in mouth.,GERD
Dealing with severe fungal patches on toes and red itchy skin rash.,Fungal infection
Dizziness,Migraine
"Started with honey colored crusts on skin, now I also feel blisters.",Impetigo
Loss of coordination,Paralysis (brain hemorrhage)
Loss of appetite,Hepatitis B
I have loss of appetite and yellow eyes.,Jaundice
Dealing with severe thick yellow nasal discharge and facial pain under eyes.,Sinusitis
Constant crying spells,Depression
I have disturbed sleep and staying awake at night.,Insomnia
"Started with racing heart rate, now I also feel heat sensitivity.",Hyperthyroidism
I've been suffering from heavy period bleeding and lower abdominal pain for a few days.,Dysmenorrhea
"Started with stiff fingers, now I also feel warm red joints.",Arthritis
I have fatigue and jaundice after heavy drinking.,Alcoholic hepatitis
Complaining of fatigue together with abdominal discomfort.,Hepatitis D
I've been suffering from bloating and chest burn after eating for a few days.,GERD
Dealing with severe blisters and red sores around nose.,Impetigo
I've been suffering from hunger and confusion and shakiness and sweating for a few days.,Hypoglycemia
Dry scaly patches and fungal patches on toes which is getting worse.,Fungal infection
Experiencing fatigue and low energy along with feeling empty and hopeless.,Depression
Experiencing frequent urge to urinate along with burning sensation during urination.,Urinary tract infection
I've been suffering from knee pain when bending and cracking knee joint for a few days.,Osteoarthritis
Complaining of constant sneezing together with itchy throat.,Allergy
Experiencing staying awake at night along with waking up tired.,Insomnia
Dry cracked skin,Psoriasis
"Started with nasal congestion, now I also feel itchy throat.",Allergy
Fatigue and abdominal swelling which is getting worse.,Hepatitis C
Experiencing fluid drainage from ear along with ear pain.,Otitis Media
Hearing muffling,Otitis Media
I feel dry cough at night and difficulty catching breath.,Bronchial Asthma
Complaining of infant teething fever together with child colic.,Toddler high fever
Swollen lips after medicine,Drug Reaction
Jaundice,Hepatitis E
"Started with yellowing of eyes, now I also feel nausea.",Hepatitis C
Experiencing clogged ear sensation along with fluid drainage from ear.,Otitis Media
I have painful bowel movements and itching in anal area.,Dimorphic hemorrhoids(piles)
Dealing with severe nasal blockage and thick yellow nasal discharge.,Sinusitis
Dealing with severe high blood pressure and severe headache.,Hypertension
Dry skin,Hypothyroidism
I've been suffering from anal lumps and rectal bleeding for a few days.,Dimorphic hemorrhoids(piles)
Experiencing shoulder stiffness along with numbness in fingers.,Cervical spondylosis
Complaining of hip joint stiffness together with cracking knee joint.,Osteoarthritis
Child colic and toddler high temperature which is getting worse.,Toddler high fever
I have stomach pain and continuous high fever.,Typhoid
Red tender gums and blood while brushing teeth which is getting worse.,Bleeding gums
Complaining of red skin spots together with pain behind eyes.,Dengue
Sneezing and mild sore throat which is getting worse.,Common Cold
I've been suffering from constant sneezing and nasal congestion for a few days.,Allergy
I feel red skin spots and nausea.,Dengue
Loss of balance,(vertigo) Paroxysmal Positional Vertigo
Complaining of abdominal swelling together with yellowing of eyes.,Hepatitis C
Complaining of swollen purple veins on legs together with spider veins.,Varicose veins
Complaining of clogged ear sensation together with fluid drainage from ear.,Otitis Media
Dealing with severe watery eyes and nasal congestion.,Allergy
I've been suffering from swollen purple veins on legs and spider veins for a few days.,Varicose veins
Complaining of toddler high temperature together with child colic.,Toddler high fever
"Started with dry cough, now I also feel runny nose.",Common Cold
Dealing with severe ringworm spots and skin peeling.,Fungal infection
I've been suffering from chest pressure and nosebleeds for a few days.,Hypertension
Dealing with severe loss of appetite and nausea.,Hepatitis B
I've been suffering from swollen painful joints and joint inflammation for a few days.,Arthritis
"Started with slurred speech, now I also feel numbness in arm.",Paralysis (brain hemorrhage)
I have anxiety and tremors and racing heart rate.,Hyperthyroidism
I have mild sore throat and sneezing.,Common Cold
I have joint stiffness in morning and knee pain when bending.,Osteoarthritis
Chest tightness,Heart attack
Complaining of heart palpitations together with hunger and confusion.,Hypoglycemia
I feel high fever and red skin spots.,Dengue
I have nausea and headache.,(vertigo) Paroxysmal Positional Vertigo
Complaining of burning sensation during urination together with lower pelvic pain.,Urinary tract infection
Nausea and pain behind eyes which is getting worse.,Dengue
Experiencing dark urine along with yellow skin.,Hepatitis B
I have dry cough at night and difficulty catching breath.,Bronchial Asthma
Dealing with severe itching in anal area and anal lumps.,Dimorphic hemorrhoids(piles)
"Started with room spinning, now I also feel nausea.",(vertigo) Paroxysmal Positional Vertigo
I feel anal lumps and painful bowel movements.,Dimorphic hemorrhoids(piles)
Acute chest pain,Heart attack
I feel extreme body weakness and constipation.,Typhoid
I've been suffering from nosebleeds and chest pressure for a few days.,Hypertension
I've been suffering from visual aura and sensitivity to light for a few days.,Migraine
Experiencing itching in anal area along with anal lumps.,Dimorphic hemorrhoids(piles)
Experiencing cavity in molar along with tooth sensitivity to hot cold.,Cavity
High fever and severe bone joint pain which is getting worse.,Dengue
Complaining of unable to fall asleep together with disturbed sleep.,Insomnia
I have nosebleeds and high blood pressure.,Hypertension
I have severe shivering and sweating.,Malaria
Dealing with severe fatigue and yellow eyes.,Jaundice
I have high fever with chills and cough with green sputum.,Pneumonia
Clogged ear sensation,Otitis Media
Nausea,Hepatitis C
"Started with blisters, now I also feel red sores around nose.",Impetigo
Abdominal discomfort and fatigue which is getting worse.,Hepatitis D
Loss of interest in hobbies,Depression
I feel frequent urge to urinate and lower pelvic pain.,Urinary tract infection
Anal lumps,Dimorphic hemorrhoids(piles)
Experiencing inflamed red bumps along with blackheads.,Acne
Dealing with severe feeling empty and hopeless and loss of interest in hobbies.,Depression
Experiencing cracking knee joint along with joint stiffness in morning.,Osteoarthritis
I feel skin peeling and swollen lips after medicine.,Drug Reaction
"Started with frequent urge to urinate, now I also feel lower pelvic pain.",Urinary tract infection
Dry cracked skin and itchy elbows which is getting worse.,Psoriasis
Complaining of skin peeling together with swollen lips after medicine.,Drug Reaction
I have skin peeling and dry scaly patches.,Fungal infection
I've been suffering from sour taste in mouth and bloating for a few days.,GERD
Sweating,Malaria
I feel red tender gums and swollen bleeding gums.,Bleeding gums
"Started with numbness in fingers, now I also feel arm tingling.",Cervical spondylosis
Dealing with severe constant sneezing and watery eyes.,Allergy
Experiencing dark yellow urine along with fever.,Hepatitis E
Complaining of jaundice together with fever.,Hepatitis E
"Started with honey colored crusts on skin, now I also feel blisters.",Impetigo
Complaining of blood while brushing teeth together with swollen bleeding gums.,Bleeding gums
"Started with sudden dizziness, now I also feel hunger and confusion.",Hypoglycemia
I've been suffering from frequent urge to urinate and cloudy foul urine for a few days.,Urinary tract infection
I have dark yellow urine and jaundice.,Hepatitis E
I feel fatigue and abdominal swelling.,Hepatitis C
Experiencing hearing muffling along with ear pain.,Otitis Media
Dealing with severe ringworm spots and dry scaly patches.,Fungal infection
Aching heavy legs,Varicose veins
Dealing with severe neck pain and shoulder stiffness.,Cervical spondylosis
Stiff fingers,Arthritis
I have unexplained weight loss and persistent cough for 3 weeks.,Tuberculosis
Tooth sensitivity to hot cold and visible hole in tooth which is getting worse.,Cavity
Dealing with severe spider veins and leg cramping at night.,Varicose veins
Dealing with severe cold sensitivity and dry skin.,Hypothyroidism
Feeling empty and hopeless,Depression
Dark urine and nausea which is getting worse.,Hepatitis B
Body aches,Chicken pox
I feel warm red joints and stiff fingers.,Arthritis
Swollen painful joints,Arthritis
Racing heart rate,Hyperthyroidism
Dealing with severe nasal blockage and sinus headache.,Sinusitis
I have child colic and infant teething fever.,Toddler high fever
I have hip joint stiffness and joint stiffness in morning.,Osteoarthritis
Experiencing sweaty palms along with nervous stomach.,Anxiety
Dealing with severe nausea and yellow skin.,Hepatitis B
I've been suffering from sharp pain in tooth and gum sensitivity for a few days.,Toothache
Complaining of joint inflammation together with swollen painful joints.,Arthritis
I've been suffering from jaundice symptoms and abdominal discomfort for a few days.,Hepatitis D
Complaining of knee pain when bending together with hip joint stiffness.,Osteoarthritis
Visible hole in tooth and tooth sensitivity to hot cold which is getting worse.,Cavity
Complaining of abdominal swelling together with yellowing of eyes.,Hepatitis C
