symptoms,department
I've been suffering from joint pain and dark urine for a few days.,General Medicine
Disturbed sleep,Psychiatry
Rash spread all over skin,Pediatrics
I have vomiting and dark yellow urine.,General Medicine
"Started with dry cough, now I also feel mild sore throat.",ENT
Baby crying and hot,Pediatrics
"Started with facial pain under eyes, now I also feel thick yellow nasal discharge.",ENT
I feel skin peeling and swollen lips after medicine.,Dermatology
Sinus headache and facial pain under eyes which is getting worse.,ENT
Dealing with severe pelvic cramps during cycle and lower abdominal pain.,Gynecology
"Started with itchy body rash, now I also feel sudden hives.",Dermatology
Complaining of toddler high temperature together with child colic.,Pediatrics
"Started with red skin spots, now I also feel high fever.",General Medicine
"Started with rectal bleeding, now I also feel anal lumps.",General Medicine
I have skin peeling and sudden hives.,Dermatology
I have heart palpitations and hunger and confusion.,General Medicine
Complaining of dry cracked skin together with silver scaly patches.,Dermatology
I have itchy throat and constant sneezing.,Dermatology
I feel itchy body rash and skin peeling.,Dermatology
Experiencing cold sensitivity along with unexplained weight gain.,General Medicine
I feel shortness of breath and chest tightness.,Cardiology
I've been suffering from difficulty catching breath and chest tightness when breathing for a few days.,General Medicine
Experiencing swollen painful joints along with joint inflammation.,Orthopedics
Restlessness,Psychiatry
I've been suffering from rectal bleeding and anal lumps for a few days.,General Medicine
I have silver scaly patches and itchy elbows.,Dermatology
Nausea,General Medicine
Swollen purple veins on legs,General Medicine
Sensitivity to light,Neurology
I have pelvic cramps during cycle and heavy period bleeding.,Gynecology
I have constipation and stomach pain.,General Medicine
I have body aches and itchy fluid filled blisters.,Pediatrics
"Started with silver scaly patches, now I also feel skin plaques.",Dermatology
Dealing with severe shakiness and sweating and sudden dizziness.,General Medicine
I have waking up tired and unable to fall asleep.,Psychiatry
Slurred speech,Neurology
Sudden hives and skin peeling which is getting worse.,Dermatology
"Started with pain behind eyes, now I also feel severe bone joint pain.",General Medicine
I feel fatigue and abdominal swelling.,General Medicine
Rash spread all over skin and fever which is getting worse.,Pediatrics
I have clogged ear sensation and hearing muffling.,ENT
Itchy elbows,Dermatology
Experiencing shortness of breath along with chest pain when breathing.,General Medicine
Experiencing facial droop along with sudden weakness.,Neurology
I feel nasal blockage and thick yellow nasal discharge.,ENT
Dealing with severe shoulder stiffness and neck pain.,Neurology
Chest tightness when breathing and wheezing which is getting worse.,General Medicine
Complaining of honey colored crusts on skin together with red sores around nose.,Dermatology
I have visual aura and sensitivity to light.,Neurology
Experiencing itchy fluid filled blisters along with rash spread all over skin.,Pediatrics
Dealing with severe swollen painful joints and stiff fingers.,Orthopedics
Complaining of visual aura together with sensitivity to sound.,Neurology
"Started with room spinning, now I also feel nausea.",Neurology
Nausea and room spinning which is getting worse.,Neurology
Dealing with severe vomiting and jaundice.,General Medicine
Dry cracked skin and itchy elbows which is getting worse.,Dermatology
Experiencing abdominal swelling along with fatigue.,General Medicine
I feel stomach cramps and mild fever.,General Medicine
Experiencing vertigo along with room spinning.,Neurology
Complaining of heartburn together with acid reflux.,General Medicine
Experiencing sudden dizziness along with hunger and confusion.,General Medicine
I've been suffering from leg cramping at night and spider veins for a few days.,General Medicine
Itching in anal area and anal lumps which is getting worse.,General Medicine
Fatigue,General Medicine
Complaining of infant teething fever together with child colic.,Pediatrics
Experiencing frequent urge to urinate along with burning sensation during urination.,Gynecology
I feel tooth nerve throbbing and pain when chewing.,Dentistry
I've been suffering from itchy elbows and skin plaques for a few days.,Dermatology
Fever,Pediatrics
High fever with chills,General Medicine
Burning sensation during urination and frequent urge to urinate which is getting worse.,Gynecology
I feel spider veins and aching heavy legs.,General Medicine
Dealing with severe anxiety and tremors and racing heart rate.,General Medicine
Dealing with severe nausea and fatigue.,General Medicine
Experiencing numbness in fingers along with shoulder stiffness.,Neurology
Experiencing nausea along with left arm pain.,Cardiology
Itchy fluid filled blisters and fever which is getting worse.,Pediatrics
Frequent urge to urinate,Gynecology
Complaining of tooth nerve throbbing together with sharp pain in tooth.,Dentistry
Dealing with severe body aches and rash spread all over skin.,Pediatrics
Complaining of unexplained weight gain together with constant fatigue.,General Medicine
Fluid filled bumps,Dermatology
Dealing with severe disturbed sleep and staying awake at night.,Psychiatry
Dark yellow urine,General Medicine
I feel fatigue and jaundice after heavy drinking.,General Medicine
Honey colored crusts on skin,Dermatology
"Started with left arm pain, now I also feel sweating.",Cardiology
Complaining of nausea together with jaundice.,General Medicine
Dealing with severe aching heavy legs and spider veins.,General Medicine
Red skin spots,General Medicine
"Started with tooth nerve throbbing, now I also feel gum sensitivity.",Dentistry
Complaining of inflamed red bumps together with cystic breakouts.,Dermatology
Experiencing stomach cramps along with watery diarrhea.,General Medicine
I have loss of interest in hobbies and constant crying spells.,Psychiatry
Complaining of nasal congestion together with itchy throat.,Dermatology
Continuous high fever and constipation which is getting worse.,General Medicine
Sweating,General Medicine
I've been suffering from yellow skin and joint pain for a few days.,General Medicine
Fatigue and abdominal pain under ribs which is getting worse.,General Medicine
Sweating and chest tightness which is getting worse.,Cardiology
Dealing with severe constipation and headache.,General Medicine
Loss of appetite and joint pain which is getting worse.,General Medicine
Experiencing severe menstrual cramps along with lower abdominal pain.,Gynecology
I have nausea and left arm pain.,Cardiology
Dealing with severe sweaty palms and nervous stomach.,Psychiatry
Abdominal swelling and fatigue which is getting worse.,General Medicine
Dealing with severe headache and muscle ache and severe shivering.,General Medicine
I've been suffering from unexplained weight gain and constant fatigue for a few days.,General Medicine
I feel jaundice symptoms and abdominal discomfort.,General Medicine
I've been suffering from cough with green sputum and chest pain when breathing for a few days.,General Medicine
Experiencing blisters along with honey colored crusts on skin.,Dermatology
Heart palpitations,General Medicine
Hunger and confusion,General Medicine
Dealing with severe constant panic feeling and sweaty palms.,Psychiatry
Shortness of breath,Cardiology
Dealing with severe extreme body weakness and constipation.,General Medicine
Sudden weakness,Neurology
Warm red joints and swollen painful joints which is getting worse.,Orthopedics
Experiencing lower abdominal pain along with heavy period bleeding.,Gynecology
Experiencing acute chest pain along with nausea.,Cardiology
Complaining of unexplained weight loss together with night sweats.,General Medicine
Experiencing visible hole in tooth along with cavity in molar.,Dentistry
Complaining of fatigue together with abdominal discomfort.,General Medicine
I feel stomach cramps and nausea.,General Medicine
I have skin plaques and itchy elbows.,Dermatology
Dealing with severe burning sensation during urination and frequent urge to urinate.,Gynecology
I've been suffering from toddler high temperature and infant teething fever for a few days.,Pediatrics
Complaining of pain when chewing together with tooth nerve throbbing.,Dentistry
Dealing with severe dry scaly patches and ringworm spots.,Dermatology
I have aching heavy legs and swollen purple veins on legs.,General Medicine
I have arm tingling and numbness in fingers.,Neurology
I feel cloudy foul urine and burning sensation during urination.,Gynecology
Experiencing unable to fall asleep along with staying awake at night.,Psychiatry
"Started with skin peeling, now I also feel swollen lips after medicine.",Dermatology
I've been suffering from fatigue and abdominal swelling for a few days.,General Medicine
I feel neck cracking sound and neck pain.,Neurology
I've been suffering from fever and jaundice for a few days.,General Medicine
I have ear pain and fluid drainage from ear.,ENT
Experiencing fatigue along with jaundice symptoms.,General Medicine
I feel sharp pain in tooth and pain when chewing.,Dentistry
"Started with red tender gums, now I also feel blood while brushing teeth.",Dentistry
I've been suffering from inflamed red bumps and oily skin for a few days.,Dermatology
Fatigue and low energy and constant crying spells which is getting worse.,Psychiatry
Dealing with severe facial pain under eyes and nasal blockage.,ENT
Complaining of joint inflammation together with stiff fingers.,Orthopedics
Experiencing loss of appetite along with dark tea colored urine.,General Medicine
Dealing with severe leg cramping at night and spider veins.,General Medicine
Fluid filled bumps and red sores around nose which is getting worse.,Dermatology
Dealing with severe shortness of breath and high blood pressure.,Cardiology
Cough with green sputum,General Medicine
Constant panic feeling,Psychiatry
Mild fever and runny nose which is getting worse.,ENT
Abdominal swelling and yellowing of eyes which is getting worse.,General Medicine
I feel nasal blockage and sinus headache.,ENT
"Started with silver scaly patches, now I also feel itchy elbows.",Dermatology
I have dizziness and shortness of breath.,Cardiology
Experiencing fluid drainage from ear along with hearing muffling.,ENT
Complaining of red sores around nose together with honey colored crusts on skin.,Dermatology
"Started with nasal blockage, now I also feel sinus headache.",ENT
Experiencing sharp pain in tooth along with gum sensitivity.,Dentistry
Experiencing mild sore throat along with mild fever.,ENT
Complaining of warm red joints together with swollen painful joints.,Orthopedics
"Started with mild sore throat, now I also feel sneezing.",ENT
Racing heart rate and sweating which is getting worse.,General Medicine
I've been suffering from watery eyes and runny nose for a few days.,Dermatology
Nausea,General Medicine
I've been suffering from constant fatigue and cold sensitivity for a few days.,General Medicine
I have dark urine and fatigue.,General Medicine
I feel dry cough and congested sinus.,ENT
I've been suffering from dizziness and nausea for a few days.,Neurology
I've been suffering from loss of balance and headache for a few days.,Neurology
Tooth sensitivity to hot cold,Dentistry
Complaining of tooth sensitivity to hot cold together with visible hole in tooth.,Dentistry
Experiencing feeling empty and hopeless along with loss of interest in hobbies.,Psychiatry
I've been suffering from sharp pain in tooth and pain when chewing for a few days.,Dentistry
Complaining of jaundice symptoms together with fatigue.,General Medicine
Complaining of abdominal discomfort together with jaundice symptoms.,General Medicine
Rectal bleeding,General Medicine
Gum sensitivity and pain when chewing which is getting worse.,Dentistry
Restlessness and constant panic feeling which is getting worse.,Psychiatry
Thinning hair,General Medicine
Anxiety and tremors,General Medicine
Heartburn,General Medicine
I've been suffering from abdominal discomfort and fatigue for a few days.,General Medicine
I have waking up tired and unable to fall asleep.,Psychiatry
I feel dark urine and nausea.,General Medicine
Chest pain when breathing,General Medicine
I have pain behind eyes and red skin spots.,General Medicine
I've been suffering from unexplained weight loss and coughing up blood for a few days.,General Medicine
I have neck cracking sound and arm tingling.,Neurology
"Started with sensitivity to light, now I also feel visual aura.",Neurology
Experiencing rectal bleeding along with itching in anal area.,General Medicine
Complaining of fatigue together with jaundice after heavy drinking.,General Medicine
I feel jaundice after heavy drinking and abdominal swelling.,General Medicine
Experiencing abdominal pain under ribs along with dark urine.,General Medicine
Experiencing skin peeling along with sudden hives.,Dermatology
"Started with ear pain, now I also feel hearing muffling.",ENT
Experiencing high fever with chills along with cough with green sputum.,General Medicine
Dealing with severe wheezing and difficulty catching breath.,General Medicine
Cold sensitivity,General Medicine
I have cold sensitivity and constant fatigue.,General Medicine
I feel numbness in fingers and shoulder stiffness.,Neurology
I feel sweating and anxiety and tremors.,General Medicine
Gum sensitivity,Dentistry
High fever with chills and severe shivering which is getting worse.,General Medicine
Neck cracking sound and shoulder stiffness which is getting worse.,Neurology
I feel cracking knee joint and knee pain when bending.,Orthopedics
I feel tooth sensitivity to hot cold and cavity in molar.,Dentistry
Severe headache,Cardiology
I've been suffering from persistent cough for 3 weeks and night sweats for a few days.,General Medicine
Left arm pain,Cardiology
Experiencing loss of appetite along with yellow eyes.,General Medicine
I feel warm red joints and stiff fingers.,Orthopedics
Dealing with severe difficulty catching breath and wheezing.,General Medicine
I feel loss of interest in hobbies and feeling empty and hopeless.,Psychiatry
I've been suffering from sudden dizziness and hunger and confusion for a few days.,General Medicine
I've been suffering from sweating and rapid weight loss for a few days.,General Medicine
I have coughing up blood and night sweats.,General Medicine
Complaining of runny nose together with mild fever.,ENT
Oily skin and blackheads which is getting worse.,Dermatology
Complaining of persistent cough for 3 weeks together with night sweats.,General Medicine
I've been suffering from fatigue and low energy and constant crying spells for a few days.,Psychiatry
Dealing with severe rash spread all over skin and body aches.,Pediatrics
Complaining of coughing up blood together with unexplained weight loss.,General Medicine
Itchy fluid filled blisters,Pediatrics
Dry cough,ENT
Dealing with severe heavy period bleeding and lower abdominal pain.,Gynecology
I've been suffering from nausea and chest tightness for a few days.,Cardiology
I've been suffering from headache and muscle ache and severe shivering for a few days.,General Medicine
Complaining of staying awake at night together with disturbed sleep.,Psychiatry
"Started with skin plaques, now I also feel dry cracked skin.",Dermatology
I have abdominal discomfort and fatigue.,General Medicine
Dealing with severe pain behind eyes and nausea.,General Medicine
I feel heavy period bleeding and lower abdominal pain.,Gynecology
Experiencing cystic breakouts along with inflamed red bumps.,Dermatology
"Started with hip joint stiffness, now I also feel joint stiffness in morning.",Orthopedics
Dealing with severe heavy period bleeding and lower abdominal pain.,Gynecology
Complaining of chest tightness together with shortness of breath.,Cardiology
Complaining of blackheads together with oily skin.,Dermatology
I feel body aches and rash spread all over skin.,Pediatrics
Nausea and dark urine which is getting worse.,General Medicine
Nausea,Cardiology
Shortness of breath,Cardiology
I've been suffering from fluid drainage from ear and hearing muffling for a few days.,ENT
Nausea and abdominal swelling which is getting worse.,General Medicine
Facial droop,Neurology
I have shortness of breath and high fever with chills.,General Medicine
I feel sweating and shortness of breath.,Cardiology
I've been suffering from swollen lips after medicine and sudden hives for a few days.,Dermatology
Night sweats and coughing up blood which is getting worse.,General Medicine
I've been suffering from sudden dizziness and heart palpitations for a few days.,General Medicine
I've been suffering from thick yellow nasal discharge and nasal blockage for a few days.,ENT
"Started with shakiness and sweating, now I also feel sudden dizziness.",General Medicine
I have silver scaly patches and dry cracked skin.,Dermatology
Runny nose,Dermatology
I've been suffering from bloating and chest burn after eating for a few days.,General Medicine
I have continuous high fever and constipation.,General Medicine
I've been suffering from ringworm spots and fungal patches on toes for a few days.,Dermatology
I have continuous high fever and extreme body weakness.,General Medicine
I feel nausea and abdominal swelling.,General Medicine
Neck cracking sound,Neurology
"Started with visible hole in tooth, now I also feel tooth sensitivity to hot cold.",Dentistry
I feel baby crying and hot and toddler high temperature.,Pediatrics
Blackheads,Dermatology
Nasal congestion,Dermatology
Dealing with severe baby crying and hot and toddler high temperature.,Pediatrics
I have swollen bleeding gums and red tender gums.,Dentistry
Experiencing dark yellow urine along with jaundice.,General Medicine
Rectal bleeding and painful bowel movements which is getting worse.,General Medicine
Complaining of lower pelvic pain together with burning sensation during urination.,Gynecology
Experiencing pelvic cramps during cycle along with heavy period bleeding.,Gynecology
Experiencing visible hole in tooth along with tooth sensitivity to hot cold.,Dentistry
I feel yellow skin and loss of appetite.,General Medicine
I've been suffering from dark urine and joint pain for a few days.,General Medicine
Complaining of dark yellow urine together with vomiting.,General Medicine
Silver scaly patches and itchy elbows which is getting worse.,Dermatology
Dealing with severe fluid filled bumps and honey colored crusts on skin.,Dermatology
Experiencing constant sneezing along with watery eyes.,Dermatology
Sweaty palms and restlessness which is getting worse.,Psychiatry
Stomach cramps,General Medicine
Experiencing sweating along with high fever with chills.,General Medicine
"Started with constant sneezing, now I also feel watery eyes.",Dermatology
I feel hearing muffling and ear pain.,ENT
I've been suffering from burning sensation during urination and frequent urge to urinate for a few days.,Gynecology
I've been suffering from blood while brushing teeth and swollen bleeding gums for a few days.,Dentistry
Dealing with severe sharp pain in tooth and tooth nerve throbbing.,Dentistry
Mild fever and stomach cramps which is getting worse.,General Medicine
Experiencing blood while brushing teeth along with red tender gums.,Dentistry
Sharp pain in tooth,Dentistry
Complaining of racing thoughts together with restlessness.,Psychiatry
I feel swollen purple veins on legs and leg cramping at night.,General Medicine
Experiencing sensitivity to light along with dizziness.,Neurology
Dealing with severe chest burn after eating and bloating.,General Medicine
"Started with left arm pain, now I also feel nausea.",Cardiology
Dealing with severe pain behind eyes and severe bone joint pain.,General Medicine
Complaining of loss of coordination together with facial droop.,Neurology
Room spinning,Neurology
"Started with night sweats, now I also feel unexplained weight loss.",General Medicine
Continuous high fever and stomach pain which is getting worse.,General Medicine
Sweating and chest tightness which is getting worse.,Cardiology
I've been suffering from nervous stomach and sweaty palms for a few days.,Psychiatry
Itchy body rash,Dermatology
Complaining of swollen lips after medicine together with skin peeling.,Dermatology
I've been suffering from silver scaly patches and dry cracked skin for a few days.,Dermatology
I have cold sensitivity and unexplained weight gain.,General Medicine
Dealing with severe constant crying spells and fatigue and low energy.,Psychiatry
Dealing with severe congested sinus and sneezing.,ENT
I feel pain when chewing and tooth nerve throbbing.,Dentistry
I feel racing heart rate and heat sensitivity.,General Medicine
Difficulty catching breath,General Medicine
Experiencing nausea along with high fever.,General Medicine
Dizziness and sensitivity to sound which is getting worse.,Neurology
Bloating,General Medicine
Unexplained weight loss,General Medicine
Skin plaques and itchy elbows which is getting worse.,Dermatology
Night sweats,General Medicine
"Started with anxiety and tremors, now I also feel rapid weight loss.",General Medicine
I feel headache and nausea.,Neurology
Dealing with severe sudden hives and skin peeling.,Dermatology
Complaining of watery diarrhea together with vomiting.,General Medicine
Wheezing and difficulty catching breath which is getting worse.,General Medicine
Abdominal swelling and fatigue which is getting worse.,General Medicine
Racing heart rate and heat sensitivity which is getting worse.,General Medicine
Numbness in fingers,Neurology
"Started with inflamed red bumps, now I also feel oily skin.",Dermatology
I feel chest burn after eating and sour taste in mouth.,General Medicine
Dealing with severe fungal patches on toes and red itchy skin rash.,Dermatology
Dizziness,Neurology
"Started with honey colored crusts on skin, now I also feel blisters.",Dermatology
Loss of coordination,Neurology
Loss of appetite,General Medicine
I have loss of appetite and yellow eyes.,General Medicine
Dealing with severe thick yellow nasal discharge and facial pain under eyes.,ENT
Constant crying spells,Psychiatry
I have disturbed sleep and staying awake at night.,Psychiatry
"Started with racing heart rate, now I also feel heat sensitivity.",General Medicine
I've been suffering from heavy period bleeding and lower abdominal pain for a few days.,Gynecology
"Started with stiff fingers, now I also feel warm red joints.",Orthopedics
I have fatigue and jaundice after heavy drinking.,General Medicine
Complaining of fatigue together with abdominal discomfort.,General Medicine
I've been suffering from bloating and chest burn after eating for a few days.,General Medicine
Dealing with severe blisters and red sores around nose.,Dermatology
I've been suffering from hunger and confusion and shakiness and sweating for a few days.,General Medicine
Dry scaly patches and fungal patches on toes which is getting worse.,Dermatology
Experiencing fatigue and low energy along with feeling empty and hopeless.,Psychiatry
Experiencing frequent urge to urinate along with burning sensation during urination.,Gynecology
I've been suffering from knee pain when bending and cracking knee joint for a few days.,Orthopedics
Complaining of constant sneezing together with itchy throat.,Dermatology
Experiencing staying awake at night along with waking up tired.,Psychiatry
Dry cracked skin,Dermatology
"Started with nasal congestion, now I also feel itchy throat.",Dermatology
Fatigue and abdominal swelling which is getting worse.,General Medicine
Experiencing fluid drainage from ear along with ear pain.,ENT
Hearing muffling,ENT
I feel dry cough at night and difficulty catching breath.,General Medicine
Complaining of infant teething fever together with child colic.,Pediatrics
Swollen lips after medicine,Dermatology
Jaundice,General Medicine
"Started with yellowing of eyes, now I also feel nausea.",General Medicine
Experiencing clogged ear sensation along with fluid drainage from ear.,ENT
I have painful bowel movements and itching in anal area.,General Medicine
Dealing with severe nasal blockage and thick yellow nasal discharge.,ENT
Dealing with severe high blood pressure and severe headache.,Cardiology
Dry skin,General Medicine
I've been suffering from anal lumps and rectal bleeding for a few days.,General Medicine
Experiencing shoulder stiffness along with numbness in fingers.,Neurology
Complaining of hip joint stiffness together with cracking knee joint.,Orthopedics
Child colic and toddler high temperature which is getting worse.,Pediatrics
I have stomach pain and continuous high fever.,General Medicine
Red tender gums and blood while brushing teeth which is getting worse.,Dentistry
Complaining of red skin spots together with pain behind eyes.,General Medicine
Sneezing and mild sore throat which is getting worse.,ENT
I've been suffering from constant sneezing and nasal congestion for a few days.,Dermatology
I feel red skin spots and nausea.,General Medicine
Loss of balance,Neurology
Complaining of abdominal swelling together with yellowing of eyes.,General Medicine
Complaining of swollen purple veins on legs together with spider veins.,General Medicine
Complaining of clogged ear sensation together with fluid drainage from ear.,ENT
Dealing with severe watery eyes and nasal congestion.,Dermatology
I've been suffering from swollen purple veins on legs and spider veins for a few days.,General Medicine
Complaining of toddler high temperature together with child colic.,Pediatrics
"Started with dry cough, now I also feel runny nose.",ENT
Dealing with severe ringworm spots and skin peeling.,Dermatology
I've been suffering from chest pressure and nosebleeds for a few days.,Cardiology
Dealing with severe loss of appetite and nausea.,General Medicine
I've been suffering from swollen painful joints and joint inflammation for a few days.,Orthopedics
"Started with slurred speech, now I also feel numbness in arm.",Neurology
I have anxiety and tremors and racing heart rate.,General Medicine
I have mild sore throat and sneezing.,ENT
I have joint stiffness in morning and knee pain when bending.,Orthopedics
Chest tightness,Cardiology
Complaining of heart palpitations together with hunger and confusion.,General Medicine
I feel high fever and red skin spots.,General Medicine
I have nausea and headache.,Neurology
Complaining of burning sensation during urination together with lower pelvic pain.,Gynecology
Nausea and pain behind eyes which is getting worse.,General Medicine
Experiencing dark urine along with yellow skin.,General Medicine
I have dry cough at night and difficulty catching breath.,General Medicine
Dealing with severe itching in anal area and anal lumps.,General Medicine
"Started with room spinning, now I also feel nausea.",Neurology
I feel anal lumps and painful bowel movements.,General Medicine
Acute chest pain,Cardiology
I feel extreme body weakness and constipation.,General Medicine
I've been suffering from nosebleeds and chest pressure for a few days.,Cardiology
I've been suffering from visual aura and sensitivity to light for a few days.,Neurology
Experiencing itching in anal area along with anal lumps.,General Medicine
Experiencing cavity in molar along with tooth sensitivity to hot cold.,Dentistry
High fever and severe bone joint pain which is getting worse.,General Medicine
Complaining of unable to fall asleep together with disturbed sleep.,Psychiatry
I have nosebleeds and high blood pressure.,Cardiology
I have severe shivering and sweating.,General Medicine
Dealing with severe fatigue and yellow eyes.,General Medicine
I have high fever with chills and cough with green sputum.,General Medicine
Clogged ear sensation,ENT
Nausea,General Medicine
"Started with blisters, now I also feel red sores around nose.",Dermatology
Abdominal discomfort and fatigue which is getting worse.,General Medicine
Loss of interest in hobbies,Psychiatry
I feel frequent urge to urinate and lower pelvic pain.,Gynecology
Anal lumps,General Medicine
Experiencing inflamed red bumps along with blackheads.,Dermatology
Dealing with severe feeling empty and hopeless and loss of interest in hobbies.,Psychiatry
Experiencing cracking knee joint along with joint stiffness in morning.,Orthopedics
I feel skin peeling and swollen lips after medicine.,Dermatology
"Started with frequent urge to urinate, now I also feel lower pelvic pain.",Gynecology
Dry cracked skin and itchy elbows which is getting worse.,Dermatology
Complaining of skin peeling together with swollen lips after medicine.,Dermatology
I have skin peeling and dry scaly patches.,Dermatology
I've been suffering from sour taste in mouth and bloating for a few days.,General Medicine
Sweating,General Medicine
I feel red tender gums and swollen bleeding gums.,Dentistry
"Started with numbness in fingers, now I also feel arm tingling.",Neurology
Dealing with severe constant sneezing and watery eyes.,Dermatology
Experiencing dark yellow urine along with fever.,General Medicine
Complaining of jaundice together with fever.,General Medicine
"Started with honey colored crusts on skin, now I also feel blisters.",Dermatology
Complaining of blood while brushing teeth together with swollen bleeding gums.,Dentistry
"Started with sudden dizziness, now I also feel hunger and confusion.",General Medicine
I've been suffering from frequent urge to urinate and cloudy foul urine for a few days.,Gynecology
I have dark yellow urine and jaundice.,General Medicine
I feel fatigue and abdominal swelling.,General Medicine
Experiencing hearing muffling along with ear pain.,ENT
Dealing with severe ringworm spots and dry scaly patches.,Dermatology
Aching heavy legs,General Medicine
Dealing with severe neck pain and shoulder stiffness.,Neurology
Stiff fingers,Orthopedics
I have unexplained weight loss and persistent cough for 3 weeks.,General Medicine
Tooth sensitivity to hot cold and visible hole in tooth which is getting worse.,Dentistry
Dealing with severe spider veins and leg cramping at night.,General Medicine
Dealing with severe cold sensitivity and dry skin.,General Medicine
Feeling empty and hopeless,Psychiatry
Dark urine and nausea which is getting worse.,General Medicine
Body aches,Pediatrics
I feel warm red joints and stiff fingers.,Orthopedics
Swollen painful joints,Orthopedics
Racing heart rate,General Medicine
Dealing with severe nasal blockage and sinus headache.,ENT
I have child colic and infant teething fever.,Pediatrics
I have hip joint stiffness and joint stiffness in morning.,Orthopedics
Experiencing sweaty palms along with nervous stomach.,Psychiatry
Dealing with severe nausea and yellow skin.,General Medicine
I've been suffering from sharp pain in tooth and gum sensitivity for a few days.,Dentistry
Complaining of joint inflammation together with swollen painful joints.,Orthopedics
I've been suffering from jaundice symptoms and abdominal discomfort for a few days.,General Medicine
Complaining of knee pain when bending together with hip joint stiffness.,Orthopedics
Visible hole in tooth and tooth sensitivity to hot cold which is getting worse.,Dentistry
Complaining of abdominal swelling together with yellowing of eyes.,General Medicine
I feel throbbing headache and dizziness.,Neurology
Complaining of heat sensitivity together with rapid weight loss.,General Medicine
Experiencing loss of interest in hobbies along with feeling empty and hopeless.,Psychiatry
"Started with dry cough at night, now I also feel difficulty catching breath.",General Medicine
Dealing with severe heart palpitations and sudden dizziness.,General Medicine
"Started with jaundice, now I also feel nausea.",General Medicine
I've been suffering from dark yellow urine and vomiting for a few days.,General Medicine
I've been suffering from persistent cough for 3 weeks and night sweats for a few days.,General Medicine
I feel disturbed sleep and waking up tired.,Psychiatry
I feel cavity in molar and visible hole in tooth.,Dentistry
Mild sore throat,ENT
I have cavity in molar and tooth sensitivity to hot cold.,Dentistry
I feel fatigue and jaundice symptoms.,General Medicine
Congested sinus,ENT
"Started with high fever with chills, now I also feel chest pain when breathing.",General Medicine
Complaining of continuous high fever together with headache.,General Medicine
I feel red itchy skin rash and dry scaly patches.,Dermatology
I've been suffering from sweating and high fever with chills for a few days.,General Medicine
Complaining of pelvic cramps during cycle together with heavy period bleeding.,Gynecology
Experiencing wheezing along with chest tightness when breathing.,General Medicine
Experiencing jaundice along with nausea.,General Medicine
I've been suffering from bloating and sour taste in mouth for a few days.,General Medicine
Complaining of chest tightness when breathing together with wheezing.,General Medicine
Staying awake at night and unable to fall asleep which is getting worse.,Psychiatry
"Started with stomach cramps, now I also feel watery diarrhea.",General Medicine
Mild fever,General Medicine
Frequent urge to urinate and burning sensation during urination which is getting worse.,Gynecology
I've been suffering from fatigue and abdominal discomfort for a few days.,General Medicine
I feel acid reflux and chest burn after eating.,General Medicine
Stomach pain and constipation which is getting worse.,General Medicine
I have facial pain under eyes and thick yellow nasal discharge.,ENT
I feel chest burn after eating and acid reflux.,General Medicine
I've been suffering from waking up tired and staying awake at night for a few days.,Psychiatry
I've been suffering from nausea and jaundice for a few days.,General Medicine
Heat sensitivity,General Medicine
Experiencing cystic breakouts along with oily skin.,Dermatology
I have runny nose and sneezing.,ENT
